model_name,feature_group,accuracy,accuracy_std,precision,precision_std,recall,recall_std,f1,f1_std,auc,auc_std,brier_score,brier_score_std,ece,ece_std,train_time_s,inference_ms_per_1k,dataset,n_features
Stacking,G2,0.8456115872699488,0.011285812779181467,0.874365662129758,0.018313075049059848,0.8141215526046987,0.033758358194986404,0.8424637663774626,0.013758432032109573,0.9158624846118698,0.011993864814905938,0.11909308682646758,0.005386063130112966,0.09305427515694803,0.013767052496161104,1.009360480029136,0.05408306297189058,A,10
OC_SVM,G2,0.6232542688193475,0.03859897792207147,0.7213551571789969,0.0773226312334634,0.42854954034729315,0.03443085491237936,0.5363972927136574,0.04193099487114308,0.6111024311499073,0.056874341985181154,0.2341890772565034,0.012841709608454812,0.11392970492395864,0.02221713401144125,0.001022300007753074,0.0033518268939192555,A,10
RF,G3,0.8640821207893163,0.021294505595899915,0.9215027686292053,0.027126099956906447,0.8027834525025537,0.05751209440126097,0.8562216905052864,0.026459308807752664,0.9317819664388548,0.01497530158246289,0.10018021566145627,0.010594543377998275,0.07054584369546278,0.017521944500200295,0.11798344000708312,0.04424787132035064,A,11
SVM,G3,0.7511726795561757,0.03661178358179801,0.7190316601920566,0.05439184792980929,0.8502553626149132,0.04644633913308599,0.7769004103278274,0.027776822395054405,0.8727771610104954,0.02506640875116521,0.1534145751047248,0.006916678180294146,0.1407652791967209,0.02594808351598653,0.07085497998632491,0.12223317189584904,A,11
MLP,G3,0.7591987243372533,0.048555700613334266,0.7311602204474253,0.08965641743791161,0.8706332992849847,0.05967739626126108,0.7881460729479677,0.027185420059128558,0.8136026669498595,0.07672819768379448,0.17258656107305162,0.03448721688250106,0.11183009825937344,0.035910617855609436,0.0846614999929443,0.0013113813654219944,A,11
KNN,G3,0.8007175602949971,0.014474657701543417,0.9361724329547538,0.022924787071618376,0.6529877425944842,0.033291823016993106,0.7685767450618849,0.021524357431422815,0.8179857321815585,0.029532655513734768,0.19244515314597038,0.015316487356801604,0.1834323300777357,0.01798593222407665,0.0009990000165998937,0.013725712621769798,A,11
Stacking,G3,0.8629326955019601,0.02090323075193357,0.9235640442064627,0.028992306050391305,0.7982124616956078,0.0552801141922903,0.8545731356876296,0.02559374020748872,0.9318836678315767,0.014726127267404653,0.10086841708874392,0.010321204667301478,0.07200099375456401,0.026693528353994904,1.034754899982363,0.05593728786068321,A,11
OC_SVM,G3,0.5518503753903395,0.024086170428455945,0.6264097744360902,0.0453291681103195,0.2925944841675179,0.03675240287330635,0.39799455223025193,0.03955306588286463,0.5850169217032372,0.036352731987249295,0.2374661073629018,0.008048235274572475,0.10574461814853733,0.013696217082030653,0.0010933599667623639,0.0035153579955786796,A,11
RF,G4,0.9320377383562555,0.019056277895365323,0.9387469345488203,0.02680828688730185,0.9274770173646578,0.020903422762410147,0.9328401577878281,0.018578506537856886,0.9812969765904794,0.006033029100997219,0.052522326755697304,0.007009603625948214,0.0538450601288951,0.011119485885818485,0.11412353997584432,0.04071891577153879,A,13
SVM,G4,0.8422098199455185,0.025619498132277683,0.8037906788197431,0.029595467731107494,0.9138917262512768,0.02310525116749549,0.85498572132368,0.021628180056569694,0.9207117560424175,0.0345849310807414,0.11158533863857537,0.019112758987546052,0.08975834585795399,0.020071646214755944,0.0647521800128743,0.10931071881000029,A,13
MLP,G4,0.8295462095541823,0.04166682740481034,0.810036314911537,0.045185630145164274,0.8709141981613892,0.043882785569168685,0.8387369740670891,0.03782621872426992,0.9022639799678334,0.037933424649262984,0.12697916207054,0.02461282196683254,0.09128512836515014,0.0053178029341785175,0.09364724000915885,0.0013700471447205139,A,13
KNN,G4,0.8675171084977743,0.00803199914122597,0.8609895823497938,0.02882557196962188,0.884320735444331,0.03008719998016398,0.8715412537954743,0.005692071651875427,0.9335367477632192,0.01067688807777599,0.09786485947777558,0.007173700149062469,0.04332735366420835,0.008364931644285614,0.0010142599930986762,0.014135166504097647,A,13
Stacking,G4,0.9297388877815427,0.018990301120577698,0.9287299950925239,0.027720661724230686,0.9342951991828397,0.01929206671481299,0.9312454066845997,0.017896185770592037,0.9796808072113565,0.00745669050159046,0.053078458248320734,0.009274504871002802,0.06323395211005971,0.00653004474698228,1.155640219990164,0.0611033627371271,A,13
OC_SVM,G4,0.6612650322237725,0.019484321358236974,0.7826333113890718,0.03306479148522271,0.46243615934627175,0.03819087708309479,0.5803585952950918,0.03186197857672985,0.6559879389197777,0.0202852715922285,0.23109975124399157,0.0050564764826426965,0.11398693979949068,0.020280704371397607,0.0012560800183564424,0.004089248577224028,A,13
RF,G6,0.9608398113082186,0.009851071205290213,0.9642246642246644,0.02114691632136215,0.9591675178753831,0.01703890663198105,0.9614027353426768,0.009494333342291423,0.9923535839496737,0.002837912155069007,0.034056489934223645,0.0036658213765230507,0.057746395588333,0.010916646332571807,0.12019279999658465,0.03992891768572745,A,30
SVM,G6,0.9493189821274335,0.020051341668429225,0.9368730895318359,0.025349837791594405,0.9660112359550561,0.02027173886523146,0.9510318122240644,0.01887963179494461,0.9812598459580046,0.01121223827082466,0.045311594111899015,0.010109418222978101,0.069166661728252,0.015101011527267259,0.07709049999248237,0.13260968957217248,A,30
MLP,G6,0.9078333665537175,0.016276247061117712,0.9080740650204755,0.0247696252750852,0.9114913176710928,0.018405675661943607,0.909524882189164,0.015627690095289793,0.9710297995246273,0.005646692793216667,0.07244813889835686,0.01647139674524742,0.08468874529563078,0.04621656061356096,0.10569126000627875,0.0014954054736256357,A,30
KNN,G6,0.9181848382167297,0.022307099764090985,0.9226197534716805,0.02067659428722779,0.9161133810010214,0.030953593740285903,0.9191300892912796,0.021951345837732852,0.9749253108018037,0.008981798827586762,0.05553252275596306,0.009201380101742505,0.03662879542887516,0.005419755534174865,0.0005720999790355564,0.017836097863694438,A,30
Stacking,G6,0.9516111886253406,0.01653085297309159,0.950719681199072,0.019785839164931773,0.9546475995914199,0.021561951848093737,0.9525016520588334,0.01616209600655787,0.992094504428847,0.00252843173935681,0.033169267361908325,0.006685626700175216,0.0577177365117577,0.006391433224175128,1.4023789200000465,0.07013514703986151,A,30
OC_SVM,G6,0.7499701016543752,0.03135178279057624,0.8118598433814318,0.015063402171087054,0.659729315628192,0.06525381786965849,0.7266010104992858,0.04580881864029848,0.7887011963965576,0.023565319235410342,0.19012116979596397,0.007224261358484516,0.11048317028180843,0.033324942100973705,0.0026012999936938287,0.009001039913467828,A,30
RF,G7,0.9562354660819878,0.01838744624791232,0.9591587700618813,0.02103030034884276,0.9546220633299285,0.017654516128554204,0.9568401497034431,0.01824311612359919,0.9918110641529576,0.004773410394638359,0.03634158589635752,0.009262036374532436,0.05387917240113773,0.012743020173549679,0.1304412400117144,0.045718925087851005,A,21
SVM,G7,0.8986113879476447,0.01243364019679783,0.8952204422083939,0.015791801861282814,0.9069969356486209,0.024368953432610148,0.9007821229050279,0.012896042247534994,0.9633111762889349,0.01146085522316533,0.07293146519387958,0.013092576679471552,0.07280840262592506,0.016674653452903372,0.06915434002876282,0.10482923046929368,A,21
MLP,G7,0.8836289947511794,0.03609324629370719,0.8940155185467573,0.03746987235140679,0.8751276813074567,0.04564637992135713,0.8840195565610578,0.036505082134236054,0.9434813085744548,0.030484399439748188,0.10249313250170251,0.033904072955304954,0.11279460838298754,0.057698423887223974,0.08621398000977934,0.0013416117413249033,A,21
KNN,G7,0.9158527672579895,0.02447104677219232,0.9104218702701765,0.01709531012787686,0.925076608784474,0.03349617808674952,0.9175920940708842,0.024588097029598403,0.9612088677550028,0.01957686922304271,0.066109361504219,0.017616999177347978,0.034809647199521634,0.012863049652685915,0.000373459979891777,0.017320461794502577,A,21
